timestamp,PSARl_0.03_0.2,PSARs_0.03_0.2,PSARaf_0.03_0.2,PSARr_0.03_0.2
2023-12-31 22:40:00,42449.83895636,,0.06,0
2023-12-31 22:45:00,,42591.1,0.03,1
2023-12-31 22:50:00,,42586.117,0.06,0
2023-12-31 22:55:00,,42554.30998,0.06,0
2023-12-31 23:00:00,,42524.4113812,0.06,0
2023-12-31 23:05:00,,42496.306698328,0.06,0
2023-12-31 23:10:00,,42469.88829642832,0.06,0
2023-12-31 23:15:00,,42445.05499864262,0.06,0
2023-12-31 23:20:00,,42421.71169872406,0.06,0
2023-12-31 23:25:00,,42399.768996800616,0.06,0
2023-12-31 23:30:00,,42379.14285699258,0.06,0
2023-12-31 23:35:00,,42359.75428557302,0.06,0
2023-12-31 23:40:00,,42341.52902843864,0.06,0
2023-12-31 23:45:00,,42324.397286732325,0.06,0
2023-12-31 23:50:00,,42308.293449528384,0.06,0
2023-12-31 23:55:00,,42293.15584255668,0.06,0
2024-01-01 00:00:00,42056.0,,0.03,1
2024-01-01 00:05:00,42066.2369,,0.06,0
2024-01-01 00:10:00,42088.227086000006,,0.09,0
2024-01-01 00:15:00,42124.214748260005,,0.12,0
2024-01-01 00:20:00,42175.857378468805,,0.12,0
2024-01-01 00:25:00,42221.30289305255,,0.12,0
2024-01-01 00:30:00,42261.29494588624,,0.12,0
2024-01-01 00:35:00,42296.487952379895,,0.12,0
2024-01-01 00:40:00,42327.45779809431,,0.12,0
2024-01-01 00:45:00,42354.71126232299,,0.12,0
2024-01-01 00:50:00,42378.694310844236,,0.12,0
2024-01-01 00:55:00,42399.799393542926,,0.12,0
2024-01-01 01:00:00,42418.37186631777,,0.12,0
2024-01-01 01:05:00,,42554.57,0.03,1
2024-01-01 01:10:00,,42550.8824,0.03,0
2024-01-01 01:15:00,,42547.305428,0.03,0
2024-01-01 01:20:00,,42543.83576516,0.03,0
2024-01-01 01:25:00,,42540.470192205205,0.03,0
2024-01-01 01:30:00,42431.65,,0.03,1
2024-01-01 01:35:00,42435.9355,,0.06,0
2024-01-01 01:40:00,42456.27937,,0.06,0
2024-01-01 01:45:00,42475.402607799995,,0.06,0
2024-01-01 01:50:00,42493.378451332,,0.06,0
2024-01-01 01:55:00,42510.27574425208,,0.06,0
2024-01-01 02:00:00,42526.15919959696,,0.06,0
2024-01-01 02:05:00,42541.08964762114,,0.06,0
2024-01-01 02:10:00,,42775.0,0.03,1
2024-01-01 02:15:00,,42767.983,0.06,0
2024-01-01 02:20:00,,42753.77002,0.06,0
2024-01-01 02:25:00,,42740.409818800006,0.06,0
2024-01-01 02:30:00,,42727.85122967201,0.06,0
